#time,accel_x,accel_y,accel_z
159.898107,1776.494261,-296.082377,-77069.207099
159.900680,3404.947333,-1924.535449,-77835.302597
159.903253,2516.700203,888.247130,-77069.207099
159.905826,888.247130,-3256.906145,-77835.302597
159.908400,2960.823768,148.041188,-77528.864398
159.910973,1776.494261,444.123565,-76762.768900
159.913546,5773.606348,-1628.453072,-77988.521696
159.916119,4885.359217,2516.700203,-76915.987999
159.918692,1184.329507,1628.453072,-77528.864398
159.921265,4737.318029,0.000000,-78141.740796
159.923839,2960.823768,3404.947333,-77069.207099
159.926412,7254.018232,4885.359217,-76456.330700
159.928985,9474.636058,2960.823768,-78294.959896
159.931558,10955.047942,6809.894666,-75843.454302
159.934131,7550.100608,4885.359217,-76762.768900
159.936704,2812.782580,6069.688724,-76303.111601
159.939277,-3552.988522,592.164754,-77682.083497
159.941851,296.082377,-1628.453072,-77375.645298
159.944424,-2368.659014,-7105.977043,-77682.083497
159.946997,-296.082377,-8290.306550,-76609.549800
159.949570,-592.164754,-9178.553681,-76762.768900
159.952143,0.000000,-9770.718434,-78294.959896
159.954716,1480.411884,-3108.864956,-76762.768900
159.957290,3108.864956,1628.453072,-77069.207099
159.959863,296.082377,2664.741391,-76915.987999
159.962436,-444.123565,2368.659014,-77375.645298
159.965009,1480.411884,-1924.535449,-77528.864398
159.967582,-740.205942,296.082377,-77069.207099
159.970155,-1480.411884,-4737.318029,-77528.864398
159.972729,888.247130,-4293.194464,-79214.274493
159.975302,888.247130,-5773.606348,-76303.111601
159.977875,2368.659014,1480.411884,-75843.454302
159.980448,2960.823768,-4737.318029,-78448.178995
159.983021,-296.082377,-5477.523971,-78601.398095
159.985594,2220.617826,-1776.494261,-76915.987999
159.988168,-1184.329507,-740.205942,-77069.207099
159.990742,740.205942,-2516.700203,-76915.987999
159.993316,-2960.823768,-1332.370696,-76762.768900
159.995890,-1628.453072,-3997.112087,-76149.892501
159.998464,-1776.494261,-7698.141797,-78141.740796
160.001039,-1480.411884,-4885.359217,-76303.111601
160.003613,444.123565,-5477.523971,-76456.330700
160.006187,-888.247130,-2960.823768,-78141.740796
160.008761,-2664.741391,-1628.453072,-77835.302597
160.011336,148.041188,-444.123565,-76915.987999
160.013910,2664.741391,-2072.576638,-77528.864398
160.016484,-444.123565,-444.123565,-76915.987999
160.019058,-1480.411884,-4737.318029,-77375.645298
160.021632,3108.864956,-2812.782580,-76149.892501
160.024207,888.247130,-5033.400406,-77222.426198
160.026781,296.082377,148.041188,-77222.426198
160.029355,2220.617826,-740.205942,-78448.178995
160.031929,4145.153275,888.247130,-76915.987999
160.034503,4737.318029,-2368.659014,-75690.235202
160.037078,5329.482782,-1480.411884,-76762.768900
160.039652,7846.182985,2812.782580,-77222.426198
160.042226,7254.018232,6069.688724,-79980.369991
160.044800,-1628.453072,6513.812290,-77528.864398
160.047375,1332.370696,2516.700203,-77222.426198
160.049949,5329.482782,1036.288319,-75996.673402
160.052523,5033.400406,-444.123565,-75843.454302
160.055097,9178.553681,-296.082377,-77988.521696
160.057671,1924.535449,2960.823768,-77835.302597
160.060246,1924.535449,1628.453072,-78448.178995
160.062820,2072.576638,1628.453072,-77375.645298
160.065394,3552.988522,-592.164754,-75383.797003
160.067968,6809.894666,-740.205942,-77069.207099
160.070543,2664.741391,888.247130,-78141.740796
160.073117,4145.153275,2812.782580,-78141.740796
160.075691,5181.441594,3701.029710,-78754.617194
160.078265,2812.782580,-3108.864956,-77835.302597
160.080839,5033.400406,-5033.400406,-78907.836294
160.083414,296.082377,2220.617826,-74924.139704
160.085988,1628.453072,-2812.782580,-77682.083497
160.088562,6217.729913,6069.688724,-77988.521696
160.091136,1480.411884,1924.535449,-77988.521696
160.093719,2960.823768,2812.782580,-76915.987999
160.096293,4737.318029,6069.688724,-75843.454302
160.098867,2812.782580,2812.782580,-76915.987999
160.101442,10066.800811,444.123565,-77835.302597
