#time,accel_x,accel_y,accel_z
30.736669,1184.329507,-1332.370696,-77528.864398
30.739176,3404.947333,-148.041188,-77835.302597
30.741682,740.205942,0.000000,-77069.207099
30.744188,1924.535449,-2368.659014,-77835.302597
30.746695,2368.659014,148.041188,-77222.426198
30.749201,1036.288319,-2368.659014,-77528.864398
30.751708,3849.070898,-1332.370696,-77222.426198
30.754214,2812.782580,-888.247130,-77375.645298
30.756720,1036.288319,444.123565,-77375.645298
30.759227,2516.700203,-2516.700203,-77988.521696
30.761733,2812.782580,-296.082377,-77375.645298
30.764240,1036.288319,-1776.494261,-77682.083497
30.766746,2812.782580,-1776.494261,-78448.178995
30.769253,1924.535449,296.082377,-77222.426198
30.771759,888.247130,-1628.453072,-77069.207099
30.774265,5477.523971,-1184.329507,-77222.426198
30.776772,1332.370696,-2812.782580,-77528.864398
30.779278,4441.235652,-4737.318029,-77682.083497
30.781785,3997.112087,-3701.029710,-76303.111601
30.784321,4293.194464,-6661.853478,-77835.302597
30.786857,4885.359217,-1924.535449,-77528.864398
30.789394,2516.700203,-2220.617826,-74924.139704
30.791930,5773.606348,-3256.906145,-77222.426198
30.794466,7550.100608,-3701.029710,-77988.521696
30.797003,6513.812290,-3108.864956,-79214.274493
30.799539,7402.059420,-4589.276840,-78141.740796
30.802075,7402.059420,-3849.070898,-76456.330700
30.804612,2072.576638,-1332.370696,-76609.549800
30.807148,-2072.576638,0.000000,-78448.178995
30.809684,-3404.947333,3701.029710,-78141.740796
30.812220,-3849.070898,2960.823768,-78141.740796
30.814757,444.123565,3701.029710,-76303.111601
30.817293,1480.411884,3849.070898,-75843.454302
30.819829,2664.741391,3849.070898,-76303.111601
30.822366,1776.494261,592.164754,-77375.645298
30.824902,148.041188,888.247130,-77682.083497
30.827438,1332.370696,-3997.112087,-78294.959896
30.829975,-1184.329507,-740.205942,-76609.549800
30.832511,-1628.453072,-444.123565,-76149.892501
30.835047,1628.453072,-1332.370696,-77375.645298
30.837584,1480.411884,-888.247130,-77528.864398
30.840120,-296.082377,1628.453072,-76762.768900
30.842656,2368.659014,-4589.276840,-78754.617194
30.845193,3108.864956,1924.535449,-77069.207099
30.847729,2220.617826,-1628.453072,-77988.521696
30.850265,4145.153275,2220.617826,-77222.426198
30.852802,-2220.617826,2664.741391,-76149.892501
30.855338,1628.453072,2516.700203,-77375.645298
30.857874,-1480.411884,2812.782580,-77375.645298
30.860411,-2072.576638,3404.947333,-76609.549800
30.862947,-2220.617826,1924.535449,-77988.521696
30.865483,-2072.576638,592.164754,-77682.083497
30.868020,-888.247130,296.082377,-77682.083497
30.870556,296.082377,296.082377,-77069.207099
30.873092,-2220.617826,888.247130,-77069.207099
30.875629,740.205942,1480.411884,-77528.864398
30.878165,1776.494261,-296.082377,-77069.207099
30.880701,2516.700203,-740.205942,-76762.768900
30.883238,-740.205942,3256.906145,-77222.426198
30.885789,444.123565,-444.123565,-78141.740796
30.888340,1036.288319,888.247130,-76762.768900
30.890891,2664.741391,-1628.453072,-77222.426198
30.893443,7846.182985,-4441.235652,-76915.987999
30.895994,5773.606348,-5625.565159,-77988.521696
30.898545,4293.194464,-4145.153275,-77222.426198
30.901096,3997.112087,-6957.935855,-78448.178995
30.903648,4441.235652,-5773.606348,-76456.330700
30.906199,3997.112087,-5625.565159,-77222.426198
30.908750,3108.864956,-2812.782580,-77375.645298
30.911301,3404.947333,-1184.329507,-77222.426198
30.913853,3849.070898,-444.123565,-77375.645298
30.916404,4885.359217,740.205942,-75230.577904
30.918955,5329.482782,-2812.782580,-78754.617194
30.921506,5625.565159,-2368.659014,-75843.454302
30.924058,5181.441594,-6069.688724,-78141.740796
30.926609,5033.400406,-5329.482782,-78141.740796
30.929160,3701.029710,-4293.194464,-77069.207099
30.931711,2220.617826,-2220.617826,-76456.330700
30.934263,2812.782580,-1776.494261,-76762.768900
30.936814,2812.782580,444.123565,-76915.987999
30.939365,1480.411884,-5921.647536,-78294.959896
30.941917,2220.617826,148.041188,-76609.549800
30.944468,296.082377,-2960.823768,-75690.235202
30.947019,3997.112087,-3108.864956,-77375.645298
30.949570,2812.782580,-5181.441594,-79367.493593
30.952122,3701.029710,-5181.441594,-77222.426198
30.954673,5181.441594,-5181.441594,-75843.454302
30.957224,6661.853478,-6069.688724,-76762.768900
30.959775,5921.647536,-5181.441594,-76456.330700
30.962327,7550.100608,-4441.235652,-77835.302597
30.964878,6217.729913,-2812.782580,-78754.617194
30.967429,7698.141797,-888.247130,-77988.521696
30.969980,4885.359217,-1184.329507,-76915.987999
30.972532,3701.029710,-1776.494261,-76149.892501
30.975083,1480.411884,-1184.329507,-76456.330700
30.977634,1184.329507,-592.164754,-77835.302597
30.980185,5033.400406,-4737.318029,-77988.521696
30.982737,3849.070898,-2664.741391,-77835.302597
30.985288,3701.029710,-3997.112087,-77835.302597
30.987727,740.205942,-148.041188,-76456.330700
30.990166,444.123565,-1332.370696,-77069.207099
30.992606,-2812.782580,4293.194464,-77375.645298
30.995045,-1628.453072,2812.782580,-77222.426198
30.997484,1332.370696,5477.523971,-76915.987999
30.999924,444.123565,3701.029710,-76456.330700
31.002363,592.164754,2812.782580,-77988.521696
31.004803,-740.205942,2220.617826,-77835.302597
31.007242,592.164754,0.000000,-76762.768900
31.009681,0.000000,-148.041188,-76762.768900
31.012121,592.164754,-1480.411884,-76762.768900
31.014560,148.041188,-444.123565,-77375.645298
31.016999,1036.288319,1480.411884,-77682.083497
31.019439,740.205942,-148.041188,-78601.398095
31.021878,-740.205942,1924.535449,-77528.864398
31.024318,1628.453072,3997.112087,-75843.454302
31.026757,3404.947333,4441.235652,-75843.454302
31.029196,-1332.370696,2220.617826,-77222.426198
31.031636,2220.617826,-4885.359217,-79520.712692
31.034075,5329.482782,2664.741391,-76609.549800
31.036515,-888.247130,444.123565,-76609.549800
31.038954,2368.659014,-296.082377,-77835.302597
31.041393,592.164754,2368.659014,-77988.521696
31.043833,1628.453072,296.082377,-77988.521696
31.046272,0.000000,1480.411884,-77682.083497
31.048712,-1036.288319,2960.823768,-77222.426198
31.051151,-296.082377,5181.441594,-76915.987999
31.053590,-1776.494261,3108.864956,-76609.549800
31.056030,-2960.823768,2812.782580,-76915.987999
31.058469,-2368.659014,-888.247130,-77375.645298
31.060909,-2368.659014,296.082377,-76915.987999
31.063348,-2220.617826,592.164754,-77375.645298
31.065787,1036.288319,592.164754,-78448.178995
31.068227,5477.523971,-1924.535449,-78141.740796
31.070666,3552.988522,2220.617826,-76149.892501
31.073105,-888.247130,3108.864956,-76456.330700
31.075545,-1184.329507,148.041188,-78141.740796
31.077984,1480.411884,592.164754,-77222.426198
31.080424,4737.318029,-1776.494261,-77682.083497
31.082863,7550.100608,-3849.070898,-77835.302597
31.085347,5625.565159,-4885.359217,-77375.645298
31.087830,4441.235652,-5477.523971,-78141.740796
31.090314,3701.029710,-5477.523971,-77988.521696
31.092798,4293.194464,-6365.771101,-77375.645298
31.095282,4737.318029,-5033.400406,-77682.083497
31.097765,3552.988522,-3108.864956,-77222.426198
31.100249,2368.659014,-740.205942,-77682.083497
31.102733,2664.741391,888.247130,-76609.549800
31.105217,6661.853478,-2368.659014,-78601.398095
31.107700,5477.523971,592.164754,-77069.207099
31.110184,4885.359217,-3404.947333,-76456.330700
31.112668,5625.565159,-5773.606348,-78754.617194
31.115151,1924.535449,-2664.741391,-76303.111601
31.117635,3256.906145,-7105.977043,-77375.645298
31.120119,5181.441594,-3404.947333,-78907.836294
31.122603,2516.700203,148.041188,-78141.740796
31.125086,4145.153275,-1036.288319,-77988.521696
31.127570,3256.906145,888.247130,-76149.892501
31.130054,3256.906145,-740.205942,-75996.673402
31.132538,3849.070898,-888.247130,-76456.330700
31.135021,1036.288319,-3256.906145,-76149.892501
31.137505,5033.400406,-5329.482782,-79061.055394
31.139989,5773.606348,-6513.812290,-78141.740796
31.142472,6069.688724,-8734.430116,-76456.330700
31.144956,7105.977043,-5625.565159,-76915.987999
31.147440,7254.018232,-3849.070898,-77528.864398
31.149924,6513.812290,-1628.453072,-77988.521696
31.152407,6661.853478,-148.041188,-78141.740796
31.154891,4441.235652,-444.123565,-77222.426198
31.157375,4441.235652,-2368.659014,-76762.768900
31.159859,444.123565,-444.123565,-75996.673402
31.162342,2072.576638,-3108.864956,-77682.083497
31.164826,5033.400406,-5033.400406,-78448.178995
31.167310,4293.194464,-1332.370696,-77528.864398
31.169793,1184.329507,-3256.906145,-77069.207099
31.172277,1184.329507,-1776.494261,-76762.768900
31.174761,-888.247130,444.123565,-76456.330700
31.177245,-1036.288319,4589.276840,-77069.207099
31.179728,-888.247130,5181.441594,-77682.083497
31.182212,444.123565,5181.441594,-76762.768900
31.184728,-1036.288319,4885.359217,-77222.426198
31.187244,0.000000,1628.453072,-78294.959896
31.189759,740.205942,1184.329507,-77528.864398
31.192275,296.082377,-592.164754,-77069.207099
31.194791,0.000000,-1480.411884,-77069.207099
31.197306,740.205942,-148.041188,-77375.645298
31.199822,740.205942,2220.617826,-76303.111601
31.202338,0.000000,888.247130,-76456.330700
31.204854,1184.329507,296.082377,-77835.302597
31.207369,-1184.329507,1332.370696,-76915.987999
31.209885,1628.453072,888.247130,-77375.645298
31.212401,2516.700203,2812.782580,-77222.426198
31.214917,1776.494261,296.082377,-77835.302597
31.217432,1628.453072,-1332.370696,-76915.987999
31.219948,888.247130,-2072.576638,-77528.864398
31.222464,888.247130,1480.411884,-76456.330700
31.224980,1332.370696,148.041188,-77835.302597
31.227495,148.041188,1924.535449,-77528.864398
31.230011,296.082377,3404.947333,-76762.768900
31.232527,-888.247130,5181.441594,-76609.549800
31.235043,-1628.453072,3701.029710,-76915.987999
31.237558,-1332.370696,2220.617826,-77835.302597
31.240074,-2072.576638,592.164754,-76762.768900
31.242590,-2664.741391,0.000000,-77375.645298
31.245105,-2664.741391,1332.370696,-77375.645298
31.247621,-1332.370696,2516.700203,-77069.207099
31.250137,3849.070898,-592.164754,-77375.645298
31.252653,6365.771101,-1480.411884,-76915.987999
31.255168,1332.370696,4589.276840,-75537.016103
31.257684,-1628.453072,740.205942,-77222.426198
31.260200,1628.453072,296.082377,-78141.740796
31.262716,1628.453072,-888.247130,-77528.864398
31.265231,6513.812290,296.082377,-76456.330700
31.267747,6957.935855,-5477.523971,-77528.864398
31.270263,5921.647536,-4293.194464,-78141.740796
31.272779,2072.576638,-6217.729913,-78448.178995
31.275294,4737.318029,-5181.441594,-77528.864398
31.277810,4293.194464,-6513.812290,-76915.987999
31.280326,5181.441594,-4589.276840,-77835.302597
31.282841,3849.070898,-1776.494261,-76456.330700
31.285379,3997.112087,-592.164754,-77069.207099
31.287917,5921.647536,-740.205942,-77222.426198
31.290455,5921.647536,-1628.453072,-77835.302597
31.292993,4145.153275,-1924.535449,-76609.549800
31.295531,3552.988522,-5033.400406,-76456.330700
31.298069,2812.782580,-6809.894666,-77375.645298
31.300607,3849.070898,-7994.224174,-78141.740796
31.303145,5181.441594,-296.082377,-77222.426198
31.305683,4293.194464,-296.082377,-77069.207099
31.308221,3997.112087,148.041188,-77682.083497
31.310759,5181.441594,-1332.370696,-76609.549800
31.313297,1776.494261,888.247130,-75690.235202
31.315835,1184.329507,-2368.659014,-77988.521696
31.318373,5033.400406,-4885.359217,-79061.055394
31.320911,4885.359217,-4441.235652,-77835.302597
31.323449,6957.935855,-8734.430116,-77528.864398
31.325987,5773.606348,-6513.812290,-76915.987999
31.328525,6069.688724,-5921.647536,-77222.426198
31.331063,7994.224174,-3404.947333,-77528.864398
31.333601,5773.606348,-1924.535449,-77988.521696
31.336139,6661.853478,-1036.288319,-77222.426198
31.338677,3256.906145,-1184.329507,-77222.426198
31.341215,444.123565,-148.041188,-76762.768900
31.343753,3552.988522,-2072.576638,-77682.083497
31.346291,4885.359217,-4293.194464,-77835.302597
31.348829,4441.235652,-1184.329507,-77069.207099
31.351367,0.000000,-2072.576638,-77835.302597
31.353905,592.164754,-2072.576638,-77375.645298
31.356443,-1628.453072,-888.247130,-77835.302597
31.358981,-888.247130,3701.029710,-77682.083497
31.361519,-888.247130,5033.400406,-76149.892501
31.364057,1036.288319,7402.059420,-76303.111601
31.366607,740.205942,5625.565159,-77069.207099
31.369157,-1776.494261,2664.741391,-77222.426198
31.371707,-740.205942,444.123565,-76609.549800
31.374258,-444.123565,-2368.659014,-78141.740796
31.376808,-296.082377,-592.164754,-78448.178995
31.379358,888.247130,-592.164754,-77835.302597
31.381908,1036.288319,1332.370696,-77375.645298
31.384458,-444.123565,296.082377,-76915.987999
31.387008,-1628.453072,2664.741391,-76149.892501
31.389559,-888.247130,2516.700203,-76609.549800
31.392109,-1332.370696,4145.153275,-76762.768900
31.394659,444.123565,-2072.576638,-77835.302597
31.397209,2072.576638,-592.164754,-77222.426198
31.399759,1776.494261,-2664.741391,-76456.330700
31.402310,2664.741391,148.041188,-77835.302597
31.404860,888.247130,-1924.535449,-77988.521696
31.407410,1776.494261,3552.988522,-76149.892501
31.409960,-592.164754,4145.153275,-76149.892501
31.412510,0.000000,5477.523971,-77069.207099
31.415060,-2812.782580,3849.070898,-77682.083497
31.417611,-1924.535449,2664.741391,-77988.521696
31.420161,-1924.535449,2220.617826,-76456.330700
31.422711,-4441.235652,1036.288319,-77222.426198
31.425261,-3256.906145,740.205942,-77988.521696
31.427811,296.082377,-1924.535449,-77988.521696
31.430362,3108.864956,-592.164754,-77069.207099
31.432912,3849.070898,-296.082377,-76762.768900
31.435462,-148.041188,2960.823768,-77222.426198
31.438012,592.164754,-296.082377,-77835.302597
31.440562,888.247130,1332.370696,-76456.330700
31.443112,3256.906145,-740.205942,-76609.549800
31.445663,8142.265362,-2368.659014,-77835.302597
31.448213,7402.059420,-4589.276840,-77222.426198
31.450763,5625.565159,-5477.523971,-77988.521696
31.453313,4145.153275,-6513.812290,-77528.864398
31.455863,5181.441594,-6809.894666,-76915.987999
31.458414,4441.235652,-5329.482782,-76915.987999
31.460964,4589.276840,-5033.400406,-77528.864398
31.463514,3849.070898,-592.164754,-77375.645298
31.466064,3849.070898,-888.247130,-77835.302597
31.468624,3701.029710,888.247130,-76149.892501
31.471184,4293.194464,-3552.988522,-78601.398095
31.473744,7994.224174,-3701.029710,-77835.302597
31.476304,4441.235652,-4737.318029,-77528.864398
31.478864,6069.688724,-4589.276840,-78601.398095
31.481423,1776.494261,-296.082377,-76762.768900
31.483983,3997.112087,-4589.276840,-77682.083497
31.486543,1184.329507,5329.482782,-75843.454302
31.489103,-296.082377,-5477.523971,-77069.207099
31.491663,4737.318029,-888.247130,-76149.892501
31.494223,1480.411884,-4737.318029,-76303.111601
31.496783,5477.523971,-2960.823768,-78141.740796
31.499343,4145.153275,-6365.771101,-78294.959896
31.501903,6957.935855,-3256.906145,-76149.892501
31.504463,5773.606348,-8142.265362,-76762.768900
31.507022,8586.388927,-6069.688724,-77222.426198
31.509582,6809.894666,-3997.112087,-76762.768900
31.512142,7550.100608,-2812.782580,-77682.083497
31.514702,5329.482782,-1332.370696,-77375.645298
31.517262,3552.988522,-740.205942,-77682.083497
31.519822,1036.288319,-592.164754,-76762.768900
31.522382,2960.823768,-3108.864956,-77222.426198
31.524942,4737.318029,-4293.194464,-76456.330700
31.527502,3701.029710,-444.123565,-76762.768900
31.530062,1332.370696,-2516.700203,-77988.521696
31.532621,1480.411884,2072.576638,-77069.207099
31.535181,-2368.659014,2072.576638,-78294.959896
31.537741,-888.247130,2812.782580,-77375.645298
31.540301,-888.247130,2664.741391,-77222.426198
31.542861,1332.370696,5477.523971,-75996.673402
31.545421,-592.164754,3552.988522,-78141.740796
31.547981,148.041188,2664.741391,-77682.083497
31.550541,-444.123565,0.000000,-77069.207099
31.553101,-740.205942,0.000000,-76762.768900
31.555660,-888.247130,-296.082377,-77069.207099
31.558220,444.123565,-740.205942,-77528.864398
31.560780,740.205942,2516.700203,-76149.892501
31.563340,-1184.329507,1924.535449,-77069.207099
31.565900,1480.411884,1776.494261,-77835.302597
31.568460,-1332.370696,3256.906145,-77375.645298
31.571025,2220.617826,-148.041188,-77375.645298
31.573590,1628.453072,-1036.288319,-77222.426198
31.576155,1628.453072,-2812.782580,-77069.207099
31.578719,2960.823768,1924.535449,-77682.083497
31.581284,1036.288319,1480.411884,-78294.959896
31.583849,2664.741391,2664.741391,-78448.178995
31.586414,-888.247130,1184.329507,-77528.864398
31.588979,-1628.453072,3404.947333,-76303.111601
31.591544,-2516.700203,4293.194464,-77069.207099
31.594109,-1924.535449,2664.741391,-78141.740796
31.596674,-2072.576638,1776.494261,-77835.302597
31.599239,-4145.153275,3997.112087,-76762.768900
31.601803,-3552.988522,2368.659014,-77528.864398
31.604368,-148.041188,148.041188,-78448.178995
31.606933,3701.029710,-1480.411884,-77375.645298
31.609498,1924.535449,148.041188,-76609.549800
31.612063,1480.411884,1776.494261,-77222.426198
31.614628,296.082377,592.164754,-77375.645298
31.617193,1776.494261,-740.205942,-77528.864398
31.619758,3997.112087,-148.041188,-76609.549800
31.622322,6513.812290,-7254.018232,-77375.645298
31.624887,7105.977043,-3997.112087,-76456.330700
31.627452,3701.029710,-5477.523971,-78448.178995
31.630017,5625.565159,-4885.359217,-78141.740796
31.632582,5773.606348,-6661.853478,-77375.645298
31.635147,4737.318029,-3849.070898,-77222.426198
31.637712,3256.906145,-4737.318029,-77835.302597
31.640277,3849.070898,-1480.411884,-77375.645298
31.642842,3849.070898,-1332.370696,-77835.302597
31.645406,5773.606348,296.082377,-78141.740796
31.647971,5921.647536,-5329.482782,-79673.931792
31.650536,6809.894666,-3404.947333,-76303.111601
31.653101,5329.482782,-1776.494261,-75690.235202
31.655666,2664.741391,-1036.288319,-75996.673402
31.658231,2368.659014,-2960.823768,-76915.987999
31.660796,2516.700203,-4589.276840,-79980.369991
31.663361,1480.411884,-3997.112087,-79061.055394
31.665925,1924.535449,-1924.535449,-76456.330700
31.668490,3997.112087,-2664.741391,-76456.330700
31.671055,5773.606348,0.000000,-74617.701505
31.673624,4885.359217,-5181.441594,-77835.302597
31.676193,6365.771101,-5329.482782,-77528.864398
31.678762,5773.606348,-6365.771101,-77222.426198
31.681331,6957.935855,-5773.606348,-76609.549800
31.683899,8734.430116,-5181.441594,-77375.645298
31.686468,9030.512492,-3108.864956,-76762.768900
31.689037,4737.318029,-444.123565,-77682.083497
31.691606,1776.494261,-1332.370696,-78448.178995
31.694175,888.247130,-444.123565,-78141.740796
31.696744,4589.276840,-3552.988522,-77528.864398
31.699313,5181.441594,-2812.782580,-76149.892501
31.701881,3404.947333,-2368.659014,-76762.768900
31.704450,2516.700203,-1184.329507,-77682.083497
31.707019,-2368.659014,-296.082377,-77375.645298
31.709588,-1924.535449,4589.276840,-77069.207099
31.712157,-888.247130,3849.070898,-77375.645298
31.714726,1332.370696,5329.482782,-76303.111601
31.717295,-444.123565,4145.153275,-76762.768900
31.719863,-148.041188,2516.700203,-77375.645298
31.722432,-148.041188,2220.617826,-76915.987999
31.725001,-592.164754,0.000000,-77835.302597
31.727570,296.082377,-592.164754,-76762.768900
31.730139,0.000000,-444.123565,-76762.768900
31.732708,1480.411884,-1184.329507,-78754.617194
31.735277,1184.329507,1776.494261,-76303.111601
31.737845,592.164754,1776.494261,-77222.426198
31.740414,148.041188,5033.400406,-76456.330700
31.742983,-3256.906145,592.164754,-76762.768900
31.745552,5033.400406,-3256.906145,-77835.302597
31.748121,1776.494261,444.123565,-77069.207099
31.750690,2516.700203,-1184.329507,-77375.645298
31.753259,2664.741391,5181.441594,-76915.987999
31.755827,296.082377,296.082377,-77835.302597
31.758396,1776.494261,5329.482782,-76456.330700
31.760965,-1332.370696,2516.700203,-77069.207099
31.763534,-1924.535449,5477.523971,-75843.454302
31.766103,-3552.988522,1628.453072,-77682.083497
31.768672,-3997.112087,3849.070898,-77682.083497
31.771241,-4885.359217,2072.576638,-77682.083497
31.773809,-1776.494261,1332.370696,-77835.302597
31.776381,3404.947333,-1332.370696,-77069.207099
31.778953,2516.700203,1332.370696,-75690.235202
31.781524,148.041188,-444.123565,-77375.645298
31.784096,1036.288319,296.082377,-78141.740796
31.786668,1628.453072,-2220.617826,-77988.521696
31.789239,4293.194464,-296.082377,-77069.207099
31.791811,6661.853478,-5921.647536,-77528.864398
31.794382,8142.265362,-3997.112087,-76149.892501
31.796954,4145.153275,-5477.523971,-77835.302597
31.799526,5625.565159,-5181.441594,-77682.083497
31.802097,3552.988522,-6069.688724,-77528.864398
31.804669,5625.565159,-5477.523971,-77222.426198
31.807241,4885.359217,-5329.482782,-77222.426198
31.809812,2960.823768,-1332.370696,-77375.645298
31.812384,5477.523971,-1628.453072,-76915.987999
31.814956,4293.194464,592.164754,-77222.426198
